component_id,uniformat_code,component_type_name,replacement_cost,importance_index,shape,scale,inspection_cost
20,D304008,AIR HANDLING UNITS,251.0,0.51,2.0,37.22,4.0
4,B301001,STEEP SLOPE ROOF SYSTEMS,220.0,0.46,1.89,46.37,3.0
13,C302005,CARPETING,130.0,0.49,1.88,25.83,2.0
0,D202001,PIPES & FITTINGS,108.0,0.6,1.72,44.7,2.0
1,D202001,PIPES & FITTINGS,102.0,0.6,1.72,44.7,1.0
33,D502002,LIGHTING EQUIPMENT,93.0,0.61,1.68,33.05,1.0
8,C201001,INTERIOR AND EXTERIOR STAIRS,86.0,0.58,2.28,65.69,1.0
24,D502002,LIGHTING EQUIPMENT,86.0,0.61,1.68,33.05,1.0
12,C302090,OTHER FLOORING & FLOOR FINISHES,84.0,0.49,2.48,44.95,1.0
6,B301090,OTHER ROOFING,49.0,0.36,1.77,36.92,1.0
19,D302001,BOILERS,45.0,0.59,1.66,32.6,1.0
11,C302001,TILE FLOOR FINISHES,40.0,0.48,1.57,39.79,1.0
27,D509090,OTHER SPECIAL SYSTEMS AND DEVICES,30.0,0.63,1.24,26.05,1.0
7,B301090,OTHER ROOFING,25.0,0.36,1.77,36.92,1.0
35,D502002,LIGHTING EQUIPMENT,24.0,0.0,1.68,33.05,1.0
21,D404001,SPRINKLERS AND RELEASING DEVICES,24.0,0.43,1.26,30.97,1.0
2,B203002,GLAZED DOORS,22.0,0.59,1.39,28.72,1.0
17,D202003,DOMESTIC WATER EQUIPMENT,18.0,0.49,1.78,28.99,1.0
16,D201006,DRINKING FOUNTAINS AND COOLERS,14.0,0.53,1.78,31.64,1.0
30,D509090,OTHER SPECIAL SYSTEMS AND DEVICES,13.0,0.63,1.24,26.05,1.0
29,D509090,OTHER SPECIAL SYSTEMS AND DEVICES,13.0,0.63,1.24,26.05,1.0
5,B301090,OTHER ROOFING,12.0,0.36,1.77,36.92,1.0
9,C201001,INTERIOR AND EXTERIOR STAIRS,11.0,0.58,2.28,65.69,1.0
3,D202001,PIPES & FITTINGS,11.0,0.6,1.72,44.7,1.0
36,D502002,LIGHTING EQUIPMENT,8.0,0.0,1.68,33.05,1.0
23,D502002,LIGHTING EQUIPMENT,7.0,0.61,1.68,33.05,1.0
28,D509090,OTHER SPECIAL SYSTEMS AND DEVICES,6.0,0.63,1.24,26.05,1.0
31,D509090,OTHER SPECIAL SYSTEMS AND DEVICES,6.0,0.63,1.24,26.05,1.0
18,D202003,DOMESTIC WATER EQUIPMENT,6.0,0.49,1.78,28.99,1.0
34,D502002,LIGHTING EQUIPMENT,5.0,0.0,1.68,33.05,1.0
22,D501006,MOTOR CONTROL CENTERS,4.0,0.63,3.32,41.54,1.0
14,C303001,ACOUSTICAL CEILING TILES & PANELS,4.0,0.41,1.71,36.23,1.0
15,D201004,SINKS,3.0,0.53,1.76,40.33,1.0
32,D509090,OTHER SPECIAL SYSTEMS AND DEVICES,3.0,0.63,1.24,26.05,1.0
10,C301003,GYPSUM WALLBOARD FINISHES,3.0,0.33,1.44,37.63,1.0
