Uniformat Code,Shape Mean,Shape St.Dev.,Scale Mean,Scale St.Dev.
D202001,1.72,0.19,44.70,3.53
B203002,1.39,0.16,28.72,2.92
B301001,1.89,0.05,46.37,0.91
B301090,1.77,0.26,36.92,2.78
C201001,2.28,0.11,65.69,1.66
C301003,1.44,0.09,37.63,2.16
C302001,1.57,0.10,39.79,2.11
C302090,2.48,0.14,44.95,1.61
C302005,1.88,0.07,25.83,0.69
C303001,1.71,0.05,36.23,0.88
D201004,1.76,0.05,40.33,0.94
D201006,1.78,0.06,31.64,0.82
D202003,1.78,0.05,28.99,0.71
D302001,1.66,0.07,32.60,1.20
D304008,2.00,0.07,37.22,0.95
D404001,1.26,0.13,30.97,3.62
D501006,3.32,0.43,41.54,2.16
D502002,1.68,0.03,33.05,0.42
D503007,2.25,0.72,2.35,4.43
D503004,2.64,0.0,20,0.0
D509090,1.24,0.25,26.05,4.37
